     d1,      d2,      d3,  AbsRel,   SqRel,    RMSE, RMSElog,   SILog,   log10
  8.214,   0.030,   0.066,   0.212,   2.623,   0.095,   0.963,   0.999,   1.000
  6.832,   0.022,   0.048,   0.208,   3.170,   0.078,   0.968,   0.999,   1.000
  5.361,   0.021,   0.048,   0.063,   1.325,   0.056,   0.999,   1.000,   1.000
  7.904,   0.034,   0.084,   0.152,   1.755,   0.104,   0.971,   0.997,   0.999
  9.942,   0.029,   0.066,   0.108,   1.463,   0.099,   0.985,   0.994,   0.998
  5.865,   0.017,   0.039,   0.084,   1.460,   0.062,   0.996,   0.999,   1.000
  5.512,   0.016,   0.036,   0.080,   1.816,   0.055,   0.992,   1.000,   1.000
  7.774,   0.030,   0.073,   0.117,   1.326,   0.096,   0.964,   0.998,   1.000
  8.643,   0.045,   0.111,   0.362,   3.084,   0.125,   0.919,   0.998,   1.000
  6.623,   0.025,   0.060,   0.103,   1.797,   0.072,   0.998,   1.000,   1.000
  9.121,   0.023,   0.053,   0.178,   2.369,   0.091,   0.977,   0.992,   1.000
  8.744,   0.019,   0.043,   0.206,   2.720,   0.088,   0.964,   0.997,   0.999
  7.826,   0.026,   0.057,   0.177,   2.370,   0.094,   0.963,   0.996,   1.000
  7.578,   0.021,   0.047,   0.157,   2.319,   0.084,   0.965,   0.998,   0.999
  5.114,   0.016,   0.036,   0.072,   1.675,   0.051,   0.996,   1.000,   1.000
  4.539,   0.012,   0.027,   0.049,   1.336,   0.046,   0.996,   0.999,   1.000
  5.486,   0.020,   0.048,   0.072,   1.377,   0.063,   0.997,   1.000,   1.000
  7.577,   0.024,   0.058,   0.190,   2.209,   0.088,   0.962,   0.998,   0.999
  6.902,   0.020,   0.047,   0.120,   2.012,   0.069,   0.991,   0.999,   1.000
 10.617,   0.035,   0.083,   0.279,   3.227,   0.108,   0.957,   0.997,   1.000
  6.750,   0.021,   0.046,   0.168,   2.872,   0.070,   0.989,   0.999,   1.000
 12.175,   0.045,   0.102,   0.438,   3.381,   0.142,   0.916,   0.983,   0.997
 11.580,   0.040,   0.086,   0.411,   3.797,   0.138,   0.884,   0.993,   0.998
  4.991,   0.015,   0.034,   0.048,   1.137,   0.055,   0.992,   0.999,   1.000
 14.684,   0.150,   0.429,   1.202,   2.486,   0.375,   0.140,   0.806,   0.960
  7.207,   0.018,   0.041,   0.171,   2.784,   0.073,   0.982,   0.997,   0.999
  8.198,   0.026,   0.057,   0.170,   2.475,   0.084,   0.974,   0.999,   1.000
  9.715,   0.028,   0.064,   0.153,   2.344,   0.098,   0.935,   0.998,   0.999
 10.208,   0.030,   0.066,   0.293,   3.350,   0.106,   0.929,   0.999,   1.000
 13.557,   0.045,   0.097,   0.431,   3.684,   0.147,   0.820,   0.997,   1.000
  8.502,   0.028,   0.067,   0.132,   2.235,   0.086,   0.982,   0.999,   1.000
  5.899,   0.014,   0.031,   0.107,   2.208,   0.061,   0.979,   0.999,   1.000
 10.687,   0.028,   0.063,   0.317,   3.474,   0.109,   0.959,   0.989,   0.996
  5.500,   0.022,   0.050,   0.133,   2.488,   0.069,   0.987,   1.000,   1.000
  5.034,   0.015,   0.034,   0.057,   1.402,   0.051,   0.995,   1.000,   1.000
  9.294,   0.025,   0.056,   0.249,   3.225,   0.095,   0.960,   0.995,   0.999
  8.061,   0.025,   0.059,   0.178,   2.371,   0.082,   0.976,   1.000,   1.000
  8.017,   0.038,   0.083,   0.271,   3.052,   0.112,   0.956,   0.995,   1.000
  6.356,   0.019,   0.042,   0.143,   2.515,   0.070,   0.981,   0.999,   1.000
  8.152,   0.021,   0.048,   0.173,   2.418,   0.085,   0.960,   0.998,   0.999
  6.996,   0.036,   0.077,   0.221,   2.617,   0.106,   0.951,   0.995,   1.000
  7.173,   0.021,   0.048,   0.186,   2.847,   0.076,   0.983,   0.998,   1.000
  8.473,   0.027,   0.060,   0.214,   2.474,   0.092,   0.975,   0.997,   1.000
  5.822,   0.017,   0.038,   0.063,   1.344,   0.060,   0.993,   1.000,   1.000
  8.086,   0.027,   0.059,   0.248,   3.007,   0.094,   0.965,   0.997,   0.999
 13.726,   0.056,   0.143,   0.486,   3.266,   0.176,   0.909,   0.969,   0.993
  8.706,   0.021,   0.046,   0.255,   3.304,   0.093,   0.936,   0.996,   0.999
  6.710,   0.028,   0.067,   0.103,   1.698,   0.080,   0.993,   0.999,   1.000
 13.986,   0.047,   0.111,   0.326,   3.392,   0.140,   0.878,   0.998,   1.000
  7.438,   0.028,   0.065,   0.124,   1.996,   0.078,   0.996,   1.000,   1.000
  5.736,   0.016,   0.037,   0.075,   1.674,   0.057,   0.994,   0.999,   1.000
  8.119,   0.025,   0.059,   0.177,   2.698,   0.083,   0.972,   0.999,   0.999
  4.273,   0.011,   0.026,   0.041,   1.163,   0.043,   0.996,   1.000,   1.000
  6.662,   0.033,   0.081,   0.238,   2.550,   0.098,   0.977,   0.993,   1.000
 18.382,   0.065,   0.144,   0.553,   4.009,   0.184,   0.790,   0.968,   1.000
  6.188,   0.028,   0.067,   0.141,   1.926,   0.082,   0.990,   1.000,   1.000
 10.503,   0.031,   0.070,   0.265,   2.929,   0.110,   0.950,   0.988,   0.999
  7.523,   0.028,   0.066,   0.172,   2.214,   0.086,   0.980,   0.998,   0.999
  7.579,   0.020,   0.044,   0.190,   3.038,   0.076,   0.980,   0.998,   1.000
  6.168,   0.085,   0.218,   0.308,   1.407,   0.204,   0.696,   0.995,   1.000
  7.369,   0.019,   0.043,   0.128,   2.059,   0.076,   0.966,   1.000,   1.000
  5.830,   0.014,   0.032,   0.100,   2.021,   0.059,   0.987,   0.999,   1.000
  9.673,   0.028,   0.061,   0.311,   3.689,   0.100,   0.952,   0.997,   0.999
  6.675,   0.020,   0.046,   0.112,   2.069,   0.067,   0.992,   0.999,   1.000
 11.972,   0.035,   0.076,   0.389,   3.930,   0.122,   0.894,   1.000,   1.000
  3.239,   0.010,   0.023,   0.013,   0.410,   0.032,   0.998,   1.000,   1.000
 16.059,   0.060,   0.158,   1.734,   7.450,   0.195,   0.761,   0.959,   0.996
  6.355,   0.031,   0.077,   0.223,   2.631,   0.093,   0.981,   0.997,   1.000
 12.040,   0.025,   0.055,   0.211,   2.324,   0.121,   0.968,   0.983,   0.987
  8.124,   0.027,   0.060,   0.238,   2.915,   0.096,   0.959,   0.998,   0.999
  9.742,   0.026,   0.058,   0.142,   1.867,   0.103,   0.920,   0.995,   1.000
  8.121,   0.027,   0.062,   0.179,   2.465,   0.083,   0.980,   1.000,   1.000
  7.460,   0.017,   0.038,   0.108,   1.973,   0.075,   0.976,   0.998,   1.000
  9.319,   0.035,   0.082,   0.200,   2.290,   0.104,   0.960,   0.996,   0.999
  9.182,   0.043,   0.091,   0.266,   2.611,   0.132,   0.906,   0.999,   1.000
  5.961,   0.022,   0.054,   0.165,   2.176,   0.076,   0.977,   0.999,   1.000
  7.139,   0.026,   0.057,   0.109,   1.707,   0.078,   0.990,   0.999,   1.000
  9.386,   0.031,   0.073,   0.273,   3.235,   0.095,   0.972,   0.999,   0.999
  9.169,   0.034,   0.083,   0.168,   1.741,   0.108,   0.978,   0.994,   0.998
 12.654,   0.034,   0.079,   0.287,   2.524,   0.127,   0.884,   0.996,   1.000
  8.848,   0.025,   0.060,   0.209,   2.656,   0.089,   0.963,   0.999,   1.000
  7.424,   0.023,   0.056,   0.229,   2.860,   0.082,   0.975,   0.999,   1.000
  6.673,   0.018,   0.041,   0.135,   2.370,   0.067,   0.981,   1.000,   1.000
  7.990,   0.032,   0.078,   0.132,   1.695,   0.099,   0.980,   0.998,   0.999
  5.502,   0.017,   0.039,   0.079,   1.841,   0.057,   0.992,   0.999,   1.000
  5.493,   0.014,   0.031,   0.101,   2.165,   0.057,   0.989,   0.999,   1.000
  7.762,   0.035,   0.085,   0.124,   1.366,   0.105,   0.957,   0.999,   1.000
 11.981,   0.042,   0.098,   0.210,   2.022,   0.130,   0.959,   0.990,   0.995
  9.125,   0.027,   0.060,   0.211,   2.644,   0.094,   0.959,   1.000,   1.000
 10.718,   0.033,   0.071,   0.581,   5.525,   0.127,   0.889,   0.992,   0.999
  9.352,   0.032,   0.073,   0.183,   2.386,   0.094,   0.983,   0.997,   1.000
  6.788,   0.017,   0.038,   0.151,   2.562,   0.070,   0.984,   0.999,   1.000
  3.515,   0.021,   0.046,   0.049,   1.172,   0.057,   0.998,   1.000,   1.000
  5.644,   0.021,   0.046,   0.131,   2.542,   0.068,   0.984,   0.999,   1.000
  4.847,   0.016,   0.036,   0.070,   1.739,   0.048,   0.995,   1.000,   1.000
  8.657,   0.023,   0.053,   0.239,   3.181,   0.087,   0.972,   0.995,   0.999
 10.129,   0.028,   0.067,   0.291,   3.067,   0.104,   0.930,   0.998,   1.000
 12.410,   0.044,   0.092,   0.337,   3.343,   0.151,   0.948,   0.979,   0.985
  7.936,   0.022,   0.049,   0.195,   2.826,   0.082,   0.975,   0.996,   1.000
  7.862,   0.030,   0.072,   0.223,   2.691,   0.094,   0.971,   1.000,   1.000
 12.195,   0.036,   0.090,   0.539,   3.812,   0.127,   0.933,   0.990,   0.993
  5.330,   0.018,   0.043,   0.087,   1.785,   0.060,   0.992,   0.999,   1.000
 11.265,   0.032,   0.075,   0.248,   2.581,   0.119,   0.959,   0.979,   0.997
  6.934,   0.022,   0.051,   0.094,   1.592,   0.076,   0.982,   0.996,   1.000
  5.772,   0.017,   0.038,   0.057,   1.224,   0.061,   0.992,   1.000,   1.000
 11.297,   0.041,   0.104,   0.272,   1.992,   0.135,   0.953,   0.983,   0.997
  5.614,   0.016,   0.037,   0.073,   1.607,   0.056,   0.997,   0.999,   1.000
  6.049,   0.031,   0.069,   0.188,   2.545,   0.092,   0.972,   0.999,   1.000
  6.684,   0.028,   0.062,   0.165,   2.443,   0.088,   0.975,   1.000,   1.000
  4.697,   0.015,   0.033,   0.053,   1.343,   0.049,   0.996,   1.000,   1.000
  7.933,   0.026,   0.061,   0.167,   2.252,   0.087,   0.981,   0.996,   0.999
  9.966,   0.041,   0.100,   0.167,   1.751,   0.122,   0.967,   0.990,   0.999
 11.366,   0.032,   0.072,   0.354,   3.547,   0.115,   0.949,   0.993,   0.998
 11.127,   0.029,   0.061,   0.205,   2.197,   0.120,   0.949,   0.981,   0.997
 12.562,   0.029,   0.061,   0.437,   4.316,   0.132,   0.893,   0.993,   0.998
  8.974,   0.025,   0.055,   0.303,   4.063,   0.094,   0.957,   0.997,   1.000
  6.257,   0.030,   0.072,   0.132,   1.750,   0.087,   0.990,   1.000,   1.000
 15.614,   0.046,   0.095,   0.629,   4.767,   0.168,   0.879,   0.954,   0.999
  6.543,   0.015,   0.035,   0.088,   1.630,   0.066,   0.978,   0.998,   1.000
  7.785,   0.024,   0.052,   0.199,   2.779,   0.090,   0.961,   0.997,   0.999
 11.918,   0.046,   0.113,   0.536,   4.085,   0.145,   0.926,   0.982,   0.999
  7.852,   0.028,   0.062,   0.169,   2.118,   0.090,   0.992,   0.998,   1.000
  9.657,   0.036,   0.084,   0.323,   3.714,   0.106,   0.938,   1.000,   1.000
 14.017,   0.039,   0.087,   0.357,   3.210,   0.140,   0.905,   0.973,   1.000
  7.612,   0.023,   0.054,   0.244,   3.137,   0.078,   0.977,   0.999,   1.000
  5.777,   0.023,   0.052,   0.106,   1.804,   0.069,   0.994,   0.999,   1.000
  7.630,   0.027,   0.059,   0.255,   3.360,   0.090,   0.966,   0.999,   1.000
  9.925,   0.040,   0.098,   0.435,   3.975,   0.121,   0.916,   0.997,   1.000
  8.713,   0.025,   0.056,   0.211,   2.851,   0.089,   0.964,   0.999,   1.000
  7.519,   0.018,   0.039,   0.181,   2.922,   0.079,   0.962,   0.998,   0.999
  9.203,   0.018,   0.045,   0.338,   3.274,   0.094,   0.970,   0.991,   0.996
  9.378,   0.025,   0.058,   0.268,   3.199,   0.094,   0.953,   0.999,   1.000
  5.784,   0.017,   0.040,   0.082,   1.709,   0.060,   0.988,   0.999,   1.000
  8.682,   0.034,   0.081,   0.262,   2.996,   0.099,   0.974,   0.999,   1.000
 10.083,   0.030,   0.068,   0.140,   1.794,   0.101,   0.958,   0.998,   1.000
  8.037,   0.022,   0.051,   0.222,   2.873,   0.081,   0.979,   0.998,   1.000
 11.119,   0.038,   0.080,   0.373,   3.674,   0.133,   0.920,   0.990,   0.997
  6.447,   0.016,   0.038,   0.135,   1.966,   0.065,   0.988,   0.997,   0.999
  7.253,   0.025,   0.058,   0.148,   2.220,   0.078,   0.991,   0.998,   1.000
  6.687,   0.023,   0.055,   0.159,   2.063,   0.079,   0.975,   0.999,   1.000
  9.909,   0.031,   0.066,   0.324,   3.645,   0.108,   0.899,   0.999,   1.000
 13.528,   0.034,   0.075,   0.521,   4.829,   0.136,   0.903,   0.992,   0.998
  7.214,   0.019,   0.044,   0.118,   1.650,   0.073,   0.986,   0.996,   0.999
  8.467,   0.024,   0.061,   0.085,   0.966,   0.098,   0.949,   0.990,   1.000
  8.365,   0.025,   0.057,   0.187,   2.465,   0.085,   0.970,   0.999,   1.000
  7.516,   0.019,   0.045,   0.163,   2.440,   0.075,   0.992,   0.998,   0.999
  8.631,   0.030,   0.067,   0.226,   2.717,   0.097,   0.960,   0.999,   1.000
  6.904,   0.025,   0.058,   0.097,   1.694,   0.069,   0.998,   1.000,   1.000
  6.147,   0.024,   0.053,   0.133,   2.289,   0.072,   0.992,   0.999,   1.000
  6.471,   0.019,   0.042,   0.129,   2.458,   0.065,   0.992,   0.999,   0.999
  8.391,   0.024,   0.057,   0.239,   2.985,   0.084,   0.969,   0.999,   1.000
  7.235,   0.024,   0.055,   0.125,   2.270,   0.073,   0.990,   0.999,   1.000
  9.850,   0.029,   0.068,   0.263,   3.214,   0.099,   0.969,   0.999,   1.000
  5.015,   0.017,   0.040,   0.067,   1.452,   0.054,   1.000,   1.000,   1.000
  8.031,   0.022,   0.051,   0.120,   1.992,   0.081,   0.976,   0.997,   0.999
  6.079,   0.018,   0.043,   0.072,   1.319,   0.064,   0.991,   0.999,   1.000
 14.573,   0.052,   0.134,   0.779,   4.172,   0.176,   0.786,   0.993,   1.000
  4.551,   0.015,   0.035,   0.060,   1.474,   0.046,   0.999,   1.000,   1.000
  9.452,   0.026,   0.059,   0.228,   2.801,   0.096,   0.959,   0.992,   0.999
  5.979,   0.023,   0.052,   0.129,   2.265,   0.071,   0.993,   1.000,   1.000
  8.136,   0.027,   0.065,   0.183,   2.368,   0.088,   0.980,   0.997,   0.999
  4.860,   0.014,   0.033,   0.047,   1.127,   0.053,   0.984,   1.000,   1.000
  8.557,   0.031,   0.075,   0.275,   2.894,   0.093,   0.966,   1.000,   1.000
  9.299,   0.029,   0.068,   0.219,   2.967,   0.095,   0.965,   0.999,   1.000
  9.463,   0.031,   0.077,   0.299,   2.863,   0.109,   0.923,   0.997,   1.000
  6.330,   0.025,   0.061,   0.118,   1.875,   0.079,   0.986,   0.998,   1.000
  4.080,   0.009,   0.021,   0.061,   1.656,   0.041,   0.996,   0.999,   1.000
  6.458,   0.021,   0.048,   0.102,   1.857,   0.065,   0.996,   0.999,   1.000
  8.397,   0.022,   0.049,   0.235,   3.320,   0.084,   0.975,   0.996,   0.999
  6.077,   0.021,   0.050,   0.096,   1.853,   0.064,   0.998,   1.000,   1.000
 12.612,   0.034,   0.074,   0.434,   3.913,   0.138,   0.925,   0.972,   0.997
  6.413,   0.018,   0.041,   0.137,   2.647,   0.065,   0.983,   0.999,   1.000
  6.191,   0.018,   0.041,   0.079,   1.710,   0.062,   0.988,   0.998,   1.000
  3.896,   0.011,   0.025,   0.048,   1.450,   0.039,   0.997,   1.000,   1.000
  7.772,   0.020,   0.048,   0.169,   2.435,   0.081,   0.973,   0.999,   1.000
  7.716,   0.022,   0.050,   0.206,   3.044,   0.079,   0.983,   0.998,   1.000
  9.219,   0.028,   0.069,   0.222,   2.309,   0.103,   0.934,   0.997,   1.000
  9.385,   0.026,   0.058,   0.256,   3.219,   0.097,   0.951,   0.995,   1.000
 11.320,   0.043,   0.089,   0.484,   4.259,   0.145,   0.883,   0.979,   0.999
  7.487,   0.019,   0.046,   0.190,   2.403,   0.079,   0.967,   0.998,   1.000
  8.769,   0.033,   0.071,   0.190,   2.471,   0.099,   0.958,   1.000,   1.000
  5.145,   0.014,   0.032,   0.048,   1.081,   0.051,   0.995,   0.998,   1.000
  4.450,   0.015,   0.034,   0.045,   1.190,   0.045,   0.999,   1.000,   1.000
 12.138,   0.027,   0.060,   0.433,   4.592,   0.122,   0.929,   0.985,   0.993
  6.036,   0.014,   0.032,   0.108,   2.169,   0.060,   0.988,   0.998,   0.999
  9.427,   0.028,   0.067,   0.217,   2.546,   0.101,   0.958,   0.992,   1.000
  6.779,   0.016,   0.036,   0.152,   2.629,   0.068,   0.984,   0.993,   1.000
 10.873,   0.035,   0.083,   0.427,   4.062,   0.117,   0.955,   0.995,   0.998
  7.896,   0.025,   0.060,   0.103,   1.430,   0.083,   0.979,   0.997,   1.000
 15.156,   0.041,   0.097,   0.602,   3.629,   0.154,   0.904,   0.983,   0.992
  5.555,   0.015,   0.033,   0.090,   1.739,   0.060,   0.985,   1.000,   1.000
  7.079,   0.019,   0.043,   0.142,   2.297,   0.077,   0.982,   0.997,   1.000
  9.847,   0.025,   0.057,   0.286,   3.266,   0.099,   0.956,   0.994,   0.997
  5.364,   0.020,   0.046,   0.060,   1.166,   0.063,   0.994,   0.999,   1.000
  6.339,   0.018,   0.041,   0.102,   1.948,   0.065,   0.994,   0.999,   1.000
  8.022,   0.030,   0.068,   0.107,   1.315,   0.087,   0.996,   1.000,   1.000
 11.077,   0.037,   0.078,   0.403,   3.927,   0.132,   0.889,   0.990,   1.000
 16.868,   0.045,   0.098,   0.413,   3.198,   0.169,   0.917,   0.953,   0.973
  6.681,   0.018,   0.040,   0.144,   2.584,   0.067,   0.983,   0.999,   1.000
