     d1,      d2,      d3,  AbsRel,   SqRel,    RMSE, RMSElog,   SILog,   log10
  8.267,   0.033,   0.073,   0.200,   2.417,   0.099,   0.967,   0.999,   1.000
  7.671,   0.026,   0.057,   0.286,   3.781,   0.094,   0.946,   0.999,   1.000
  4.378,   0.016,   0.037,   0.053,   1.331,   0.048,   0.999,   1.000,   1.000
  7.505,   0.023,   0.054,   0.109,   1.749,   0.082,   0.977,   0.997,   1.000
 10.102,   0.025,   0.056,   0.120,   1.694,   0.104,   0.975,   0.991,   0.996
  4.831,   0.013,   0.030,   0.046,   0.941,   0.049,   0.997,   0.999,   1.000
  6.748,   0.017,   0.037,   0.139,   2.478,   0.070,   0.983,   0.996,   1.000
  9.322,   0.026,   0.063,   0.127,   1.573,   0.095,   0.972,   0.995,   0.999
  9.001,   0.041,   0.099,   0.336,   3.205,   0.115,   0.945,   0.999,   1.000
  6.420,   0.021,   0.048,   0.111,   2.088,   0.065,   0.992,   1.000,   1.000
  8.542,   0.022,   0.053,   0.202,   2.614,   0.087,   0.969,   0.997,   1.000
 10.309,   0.023,   0.049,   0.283,   3.349,   0.104,   0.959,   0.979,   0.999
  8.063,   0.017,   0.037,   0.166,   2.503,   0.085,   0.958,   0.996,   1.000
  9.191,   0.021,   0.046,   0.178,   2.473,   0.093,   0.960,   0.991,   0.998
  4.288,   0.017,   0.037,   0.065,   1.613,   0.050,   0.998,   1.000,   1.000
  6.109,   0.017,   0.040,   0.061,   1.411,   0.061,   0.986,   0.999,   1.000
  9.059,   0.026,   0.057,   0.117,   1.581,   0.091,   0.966,   0.999,   1.000
  8.281,   0.023,   0.056,   0.152,   1.873,   0.091,   0.975,   0.991,   0.997
  8.073,   0.023,   0.055,   0.158,   2.223,   0.081,   0.979,   0.999,   1.000
 12.416,   0.044,   0.103,   0.383,   3.627,   0.130,   0.933,   0.992,   1.000
  7.042,   0.022,   0.050,   0.158,   2.705,   0.070,   0.988,   0.999,   1.000
 15.244,   0.039,   0.098,   0.839,   4.485,   0.156,   0.946,   0.968,   0.983
 12.312,   0.036,   0.077,   0.445,   4.362,   0.135,   0.941,   0.984,   0.999
  7.763,   0.019,   0.046,   0.090,   1.458,   0.078,   0.986,   0.995,   0.997
 19.267,   0.122,   0.238,   0.388,   1.471,   0.326,   0.460,   0.840,   0.969
  9.184,   0.026,   0.057,   0.263,   3.540,   0.093,   0.961,   0.994,   0.999
  6.632,   0.019,   0.042,   0.133,   2.333,   0.070,   0.990,   1.000,   1.000
 10.755,   0.039,   0.087,   0.319,   3.572,   0.122,   0.937,   0.997,   1.000
  9.828,   0.031,   0.070,   0.257,   3.074,   0.101,   0.958,   0.999,   1.000
 14.473,   0.052,   0.106,   0.576,   4.451,   0.174,   0.767,   0.987,   0.999
  6.075,   0.016,   0.036,   0.112,   2.426,   0.061,   0.989,   0.998,   1.000
  6.427,   0.017,   0.037,   0.112,   2.157,   0.065,   0.980,   0.999,   1.000
  8.972,   0.024,   0.056,   0.223,   2.725,   0.090,   0.973,   0.995,   0.998
  6.455,   0.022,   0.049,   0.176,   2.970,   0.076,   0.982,   0.999,   1.000
  6.188,   0.019,   0.044,   0.069,   1.467,   0.062,   0.990,   0.999,   1.000
  9.671,   0.025,   0.056,   0.254,   3.226,   0.098,   0.957,   0.994,   1.000
  9.689,   0.031,   0.073,   0.215,   2.470,   0.097,   0.948,   0.999,   1.000
 10.089,   0.032,   0.072,   0.287,   3.008,   0.111,   0.941,   0.994,   0.999
  6.583,   0.016,   0.036,   0.168,   2.918,   0.071,   0.976,   0.998,   1.000
  7.585,   0.019,   0.043,   0.147,   2.268,   0.080,   0.971,   0.995,   0.999
  8.499,   0.032,   0.069,   0.219,   2.742,   0.102,   0.961,   0.995,   1.000
  9.397,   0.034,   0.075,   0.282,   3.412,   0.100,   0.959,   0.998,   1.000
  8.325,   0.025,   0.055,   0.216,   2.575,   0.087,   0.968,   0.996,   0.999
  5.979,   0.021,   0.051,   0.101,   1.519,   0.073,   0.983,   0.998,   1.000
  9.153,   0.021,   0.049,   0.263,   2.960,   0.092,   0.973,   0.991,   0.998
 12.824,   0.033,   0.077,   0.320,   3.307,   0.131,   0.945,   0.991,   0.994
 10.819,   0.029,   0.061,   0.347,   3.683,   0.123,   0.937,   0.968,   0.999
  8.293,   0.018,   0.042,   0.128,   2.297,   0.083,   0.957,   0.998,   0.999
 14.766,   0.051,   0.123,   0.370,   3.383,   0.150,   0.868,   0.996,   1.000
  6.780,   0.021,   0.049,   0.122,   2.270,   0.068,   0.990,   1.000,   1.000
  5.846,   0.019,   0.045,   0.085,   1.641,   0.066,   0.983,   0.999,   1.000
  9.858,   0.029,   0.068,   0.294,   3.535,   0.100,   0.965,   0.994,   0.998
  6.297,   0.018,   0.042,   0.068,   1.477,   0.063,   0.984,   0.999,   1.000
  6.550,   0.020,   0.047,   0.118,   1.950,   0.072,   0.982,   0.998,   1.000
 16.989,   0.055,   0.119,   0.450,   3.673,   0.175,   0.856,   0.965,   1.000
  6.596,   0.021,   0.050,   0.128,   2.205,   0.072,   0.983,   1.000,   1.000
 11.003,   0.031,   0.070,   0.326,   3.566,   0.114,   0.948,   0.990,   0.997
  8.622,   0.023,   0.052,   0.173,   2.412,   0.086,   0.969,   0.995,   0.999
 10.068,   0.028,   0.064,   0.313,   3.677,   0.101,   0.963,   0.997,   1.000
 11.107,   0.108,   0.216,   0.335,   1.505,   0.270,   0.408,   0.967,   1.000
  7.806,   0.024,   0.054,   0.148,   2.257,   0.083,   0.967,   1.000,   1.000
  6.594,   0.017,   0.039,   0.131,   2.290,   0.069,   0.984,   0.996,   1.000
 11.114,   0.027,   0.060,   0.415,   4.451,   0.115,   0.933,   0.987,   0.999
  7.233,   0.024,   0.052,   0.182,   2.749,   0.083,   0.980,   0.999,   1.000
 11.713,   0.034,   0.073,   0.357,   3.595,   0.126,   0.880,   1.000,   1.000
  3.172,   0.010,   0.023,   0.013,   0.423,   0.033,   0.999,   1.000,   1.000
 13.909,   0.045,   0.110,   0.751,   4.971,   0.143,   0.879,   0.994,   0.998
  9.211,   0.023,   0.057,   0.233,   2.562,   0.095,   0.973,   0.989,   0.997
 12.171,   0.026,   0.059,   0.285,   2.642,   0.124,   0.947,   0.982,   0.989
 13.633,   0.038,   0.080,   0.562,   4.551,   0.151,   0.862,   0.989,   0.998
  6.954,   0.019,   0.042,   0.064,   1.328,   0.074,   0.967,   0.999,   1.000
 10.185,   0.033,   0.076,   0.287,   3.263,   0.103,   0.953,   0.999,   1.000
  7.295,   0.016,   0.036,   0.099,   1.832,   0.073,   0.960,   0.999,   1.000
 11.129,   0.024,   0.052,   0.249,   2.736,   0.111,   0.930,   0.984,   1.000
 10.389,   0.048,   0.101,   0.415,   3.508,   0.150,   0.836,   0.994,   1.000
  8.325,   0.020,   0.049,   0.220,   2.619,   0.085,   0.959,   0.996,   1.000
  6.608,   0.020,   0.044,   0.094,   1.705,   0.069,   0.990,   0.999,   1.000
  8.669,   0.028,   0.067,   0.323,   3.579,   0.091,   0.962,   0.997,   0.999
  7.640,   0.019,   0.045,   0.110,   1.804,   0.077,   0.987,   0.997,   0.999
 17.224,   0.052,   0.108,   0.549,   3.703,   0.188,   0.844,   0.918,   0.997
  9.054,   0.027,   0.065,   0.209,   2.563,   0.091,   0.966,   0.998,   1.000
  9.036,   0.022,   0.048,   0.204,   2.707,   0.090,   0.948,   0.997,   0.999
  6.222,   0.016,   0.035,   0.116,   2.237,   0.062,   0.974,   1.000,   1.000
  7.860,   0.023,   0.053,   0.124,   2.132,   0.084,   0.984,   0.997,   0.999
  4.263,   0.012,   0.027,   0.049,   1.486,   0.043,   0.996,   1.000,   1.000
  6.516,   0.017,   0.037,   0.136,   2.448,   0.067,   0.981,   0.998,   1.000
  7.985,   0.024,   0.058,   0.099,   1.394,   0.085,   0.983,   0.995,   0.999
 17.326,   0.046,   0.109,   0.338,   2.336,   0.175,   0.820,   0.975,   0.987
  7.297,   0.022,   0.050,   0.164,   2.374,   0.077,   0.989,   0.999,   1.000
  9.956,   0.026,   0.057,   0.430,   4.604,   0.107,   0.935,   0.995,   0.997
 10.280,   0.029,   0.064,   0.225,   2.949,   0.108,   0.968,   0.994,   0.995
  7.645,   0.021,   0.045,   0.183,   2.724,   0.081,   0.965,   0.999,   1.000
  4.942,   0.025,   0.056,   0.085,   1.671,   0.069,   0.995,   1.000,   1.000
  6.377,   0.020,   0.043,   0.163,   2.947,   0.071,   0.979,   0.999,   1.000
  4.177,   0.017,   0.038,   0.099,   2.217,   0.055,   0.991,   1.000,   1.000
 12.509,   0.037,   0.085,   0.537,   4.862,   0.127,   0.915,   0.989,   0.998
 10.188,   0.028,   0.066,   0.293,   3.241,   0.102,   0.952,   0.997,   1.000
 12.138,   0.037,   0.078,   0.285,   2.942,   0.143,   0.960,   0.978,   0.982
 12.520,   0.037,   0.085,   0.520,   4.466,   0.125,   0.924,   0.989,   0.999
  8.613,   0.028,   0.066,   0.204,   2.526,   0.090,   0.964,   1.000,   1.000
 10.948,   0.029,   0.072,   0.391,   3.056,   0.111,   0.976,   0.990,   0.992
  6.362,   0.017,   0.039,   0.128,   2.452,   0.064,   0.985,   0.999,   1.000
 11.734,   0.024,   0.055,   0.204,   2.510,   0.119,   0.962,   0.982,   0.990
  6.993,   0.016,   0.037,   0.098,   1.806,   0.072,   0.982,   0.995,   0.999
  6.367,   0.017,   0.039,   0.064,   1.306,   0.065,   0.985,   0.998,   1.000
  9.650,   0.027,   0.064,   0.179,   1.916,   0.099,   0.950,   0.997,   0.998
