     d1,      d2,      d3,  AbsRel,   SqRel,    RMSE, RMSElog,   SILog,   log10
  7.252,   0.028,   0.062,   0.143,   1.973,   0.083,   0.988,   0.999,   1.000
  7.347,   0.033,   0.071,   0.330,   4.109,   0.102,   0.948,   0.997,   1.000
  4.652,   0.019,   0.046,   0.072,   1.478,   0.056,   1.000,   1.000,   1.000
  7.973,   0.023,   0.054,   0.082,   1.647,   0.080,   0.980,   0.998,   0.999
  9.456,   0.033,   0.075,   0.131,   1.794,   0.095,   0.984,   0.997,   0.999
  5.263,   0.014,   0.033,   0.047,   0.928,   0.053,   0.997,   0.999,   1.000
  7.352,   0.020,   0.045,   0.141,   2.305,   0.076,   0.974,   0.999,   1.000
  7.400,   0.021,   0.051,   0.073,   1.330,   0.076,   0.993,   0.998,   0.999
  8.747,   0.039,   0.096,   0.283,   2.824,   0.113,   0.934,   0.999,   1.000
  7.503,   0.027,   0.065,   0.131,   1.925,   0.083,   0.996,   1.000,   1.000
  9.018,   0.022,   0.051,   0.195,   2.475,   0.090,   0.966,   0.996,   1.000
  9.791,   0.024,   0.053,   0.248,   3.040,   0.104,   0.965,   0.978,   0.998
  6.473,   0.018,   0.040,   0.102,   1.760,   0.068,   0.982,   0.997,   1.000
  8.836,   0.023,   0.052,   0.174,   2.389,   0.091,   0.960,   0.995,   1.000
  5.115,   0.015,   0.035,   0.073,   1.618,   0.051,   0.996,   1.000,   1.000
  7.177,   0.020,   0.047,   0.111,   2.079,   0.072,   0.985,   0.999,   1.000
  7.785,   0.024,   0.053,   0.084,   1.253,   0.081,   0.973,   1.000,   1.000
  7.907,   0.024,   0.058,   0.170,   2.023,   0.090,   0.953,   0.998,   1.000
  6.701,   0.018,   0.043,   0.115,   1.895,   0.068,   0.985,   0.999,   0.999
 10.588,   0.035,   0.083,   0.285,   3.282,   0.110,   0.950,   0.997,   0.999
  7.067,   0.023,   0.051,   0.158,   2.633,   0.071,   0.991,   1.000,   1.000
 12.418,   0.036,   0.084,   0.493,   3.665,   0.133,   0.934,   0.976,   0.997
 12.476,   0.043,   0.093,   0.465,   4.014,   0.147,   0.864,   0.991,   0.998
  6.748,   0.018,   0.043,   0.080,   1.409,   0.071,   0.988,   0.996,   0.999
 16.793,   0.062,   0.149,   0.157,   0.867,   0.168,   0.850,   0.992,   1.000
  9.119,   0.024,   0.054,   0.291,   3.697,   0.095,   0.959,   0.990,   0.999
  6.519,   0.020,   0.043,   0.145,   2.496,   0.071,   0.985,   0.999,   1.000
 13.192,   0.038,   0.088,   0.272,   2.972,   0.136,   0.908,   0.991,   0.997
  8.584,   0.027,   0.061,   0.197,   2.665,   0.086,   0.976,   1.000,   1.000
 13.343,   0.045,   0.096,   0.510,   4.347,   0.149,   0.808,   0.996,   1.000
  8.161,   0.026,   0.060,   0.125,   2.260,   0.082,   0.982,   0.999,   1.000
  7.234,   0.019,   0.043,   0.132,   2.294,   0.075,   0.968,   0.999,   1.000
  8.928,   0.025,   0.057,   0.191,   2.644,   0.090,   0.979,   0.996,   0.999
  6.343,   0.025,   0.055,   0.182,   2.942,   0.081,   0.981,   1.000,   1.000
  6.839,   0.019,   0.044,   0.100,   1.922,   0.068,   0.986,   1.000,   1.000
  9.371,   0.025,   0.055,   0.225,   2.899,   0.098,   0.960,   0.992,   0.999
  9.895,   0.028,   0.069,   0.213,   2.264,   0.099,   0.941,   0.999,   1.000
  9.787,   0.038,   0.083,   0.279,   2.893,   0.118,   0.953,   0.988,   1.000
  6.646,   0.022,   0.047,   0.199,   3.133,   0.079,   0.975,   0.998,   1.000
  8.035,   0.023,   0.050,   0.171,   2.346,   0.090,   0.945,   0.997,   0.999
  7.219,   0.047,   0.100,   0.279,   2.718,   0.129,   0.940,   0.996,   0.999
  8.258,   0.027,   0.062,   0.231,   3.063,   0.086,   0.967,   0.999,   1.000
  7.825,   0.024,   0.054,   0.205,   2.517,   0.087,   0.974,   0.997,   1.000
  6.126,   0.019,   0.046,   0.095,   1.589,   0.067,   0.988,   0.999,   1.000
  9.209,   0.027,   0.058,   0.291,   3.342,   0.104,   0.954,   0.991,   0.999
 12.539,   0.033,   0.077,   0.292,   3.484,   0.128,   0.939,   0.993,   0.996
 10.820,   0.030,   0.063,   0.359,   3.816,   0.123,   0.937,   0.966,   0.999
  6.140,   0.018,   0.041,   0.090,   1.978,   0.061,   0.992,   0.999,   0.999
 13.543,   0.049,   0.111,   0.340,   3.412,   0.136,   0.946,   0.999,   1.000
  8.486,   0.029,   0.070,   0.148,   2.110,   0.091,   0.993,   1.000,   1.000
  6.989,   0.021,   0.050,   0.126,   2.131,   0.074,   0.978,   0.999,   1.000
  9.770,   0.033,   0.076,   0.280,   3.442,   0.101,   0.968,   0.993,   1.000
  6.587,   0.019,   0.043,   0.090,   1.827,   0.066,   0.988,   0.999,   1.000
  6.711,   0.029,   0.071,   0.177,   2.311,   0.090,   0.979,   0.997,   1.000
 16.723,   0.050,   0.104,   0.464,   3.957,   0.177,   0.859,   0.930,   1.000
  6.591,   0.023,   0.056,   0.140,   1.972,   0.079,   0.985,   1.000,   1.000
 10.908,   0.034,   0.076,   0.325,   3.352,   0.116,   0.941,   0.993,   0.999
  8.126,   0.024,   0.055,   0.170,   2.399,   0.083,   0.970,   0.996,   1.000
 11.416,   0.029,   0.064,   0.410,   4.309,   0.117,   0.946,   0.983,   0.999
 12.871,   0.063,   0.136,   0.165,   1.112,   0.166,   0.817,   0.999,   1.000
  6.973,   0.026,   0.057,   0.137,   2.110,   0.081,   0.975,   1.000,   1.000
  7.192,   0.017,   0.039,   0.174,   2.799,   0.076,   0.968,   0.998,   1.000
 10.454,   0.027,   0.059,   0.363,   4.147,   0.110,   0.945,   0.988,   0.999
  6.519,   0.020,   0.046,   0.126,   2.286,   0.071,   0.987,   0.998,   1.000
  9.263,   0.029,   0.064,   0.242,   3.018,   0.098,   0.940,   1.000,   1.000
  3.762,   0.023,   0.052,   0.047,   0.797,   0.064,   0.997,   1.000,   1.000
 16.205,   0.054,   0.133,   1.039,   5.908,   0.165,   0.817,   0.993,   0.998
  7.639,   0.020,   0.048,   0.169,   2.232,   0.083,   0.978,   0.994,   0.999
 13.005,   0.031,   0.066,   0.211,   2.338,   0.132,   0.940,   0.979,   0.988
  9.961,   0.032,   0.068,   0.375,   3.766,   0.120,   0.915,   0.998,   0.999
  6.574,   0.020,   0.045,   0.085,   1.532,   0.068,   0.992,   1.000,   1.000
  9.842,   0.032,   0.073,   0.254,   2.941,   0.098,   0.963,   0.998,   1.000
  8.468,   0.018,   0.043,   0.153,   1.960,   0.086,   0.955,   0.997,   0.998
 10.426,   0.024,   0.053,   0.204,   2.554,   0.104,   0.945,   0.989,   0.999
  9.115,   0.065,   0.135,   0.498,   3.702,   0.174,   0.804,   0.995,   1.000
  6.043,   0.020,   0.047,   0.117,   1.953,   0.068,   0.992,   0.998,   1.000
  6.067,   0.019,   0.043,   0.075,   1.418,   0.063,   0.997,   1.000,   1.000
  9.161,   0.029,   0.066,   0.226,   2.897,   0.092,   0.967,   0.999,   0.999
  7.928,   0.024,   0.054,   0.088,   1.597,   0.081,   0.977,   0.997,   0.999
 15.843,   0.051,   0.107,   0.495,   3.527,   0.174,   0.862,   0.951,   1.000
 10.764,   0.035,   0.081,   0.302,   3.380,   0.109,   0.945,   0.998,   1.000
  8.463,   0.027,   0.063,   0.219,   2.813,   0.088,   0.967,   0.998,   1.000
  7.044,   0.017,   0.039,   0.145,   2.487,   0.071,   0.970,   1.000,   1.000
  7.967,   0.022,   0.051,   0.099,   2.019,   0.080,   0.986,   0.997,   0.999
  4.613,   0.016,   0.036,   0.064,   1.687,   0.050,   0.994,   0.999,   1.000
  6.292,   0.016,   0.035,   0.118,   2.213,   0.068,   0.979,   0.998,   0.999
  8.226,   0.025,   0.061,   0.085,   1.241,   0.086,   0.967,   0.999,   1.000
 14.979,   0.041,   0.096,   0.288,   2.422,   0.150,   0.908,   0.974,   0.994
  8.484,   0.023,   0.052,   0.177,   2.397,   0.087,   0.961,   0.999,   1.000
  7.840,   0.031,   0.069,   0.262,   3.401,   0.094,   0.974,   0.997,   0.999
 10.156,   0.032,   0.070,   0.177,   2.117,   0.112,   0.942,   0.996,   1.000
  9.487,   0.026,   0.057,   0.291,   3.455,   0.100,   0.933,   0.997,   1.000
  4.294,   0.023,   0.052,   0.075,   1.603,   0.064,   0.996,   1.000,   1.000
  6.741,   0.026,   0.056,   0.206,   3.241,   0.084,   0.977,   0.997,   1.000
  4.224,   0.012,   0.028,   0.065,   1.768,   0.044,   0.992,   1.000,   1.000
 10.268,   0.029,   0.063,   0.349,   3.955,   0.110,   0.933,   0.992,   0.997
 10.238,   0.027,   0.066,   0.323,   3.287,   0.105,   0.932,   0.998,   1.000
